Year	0_temp	1_temp	2_temp	3_temp	4_temp
2083	1.10504001747	1.53483420665	2.01954498028	1.33558609506	1.74390362467
2084	1.10392292473	1.53313537545	2.01868499678	1.33396941656	1.74239713061
2085	1.102838991	1.53147643927	2.0178615229	1.33239116216	1.74093033507
2086	1.10178771181	1.52985747929	2.01707525225	1.33085114319	1.73950358281
2087	1.10076849764	1.52827840721	2.01632664248	1.32934903695	1.73811701705
2088	1.099780689	1.52673898887	2.01561594559	1.32788440668	1.73677060635
2089	1.09882356756	1.5252388614	2.01494322958	1.3264567163	1.73546416404
2090	1.09789637353	1.52377756179	2.01430841631	1.32506535417	1.73419738121
2091	1.09699831655	1.52235454462	2.01371130446	1.32370964797	1.73296984699
2092	1.09612857946	1.52096918742	2.01315157552	1.32238886952	1.73178105443
2093	1.09528632726	1.5196208058	2.01262881364	1.32110224731	1.73063041783
2094	1.09447070952	1.51830865707	2.01214250952	1.31984896967	1.72951727677
2095	1.09368086918	1.5170319556	2.01169208103	1.31862819744	1.72844091386
2096	1.09291595538	1.51578989514	2.01127690363	1.31743908211	1.72740058101
2097	1.09217512587	1.51458165332	2.01089631615	1.31628076963	1.72639550453
2098	1.09145754892	1.51340639536	2.01054962548	1.31515240331	1.72542488944
2099	1.09076240512	1.51226327763	2.01023611135	1.31405312671	1.72448792366
2100	1.0900888868	1.51115144726	2.00995502549	1.31298208326	1.72358377745
2101	1.0894362051	1.51007005519	2.00970560984	1.31193842673	1.72271161895
2102	1.08880359185	1.50901826029	2.00948710228	1.31092132442	1.72187061902
2103	1.0881902954	1.50799522272	2.00929872743	1.30992995167	1.72105994353
2104	1.08759558268	1.50700010854	2.00913970317	1.3089634954	1.72027875889
2105	1.08701873549	1.50603208401	2.00900923292	1.30802114929	1.7195262254
2106	1.08645905407	1.5050903228	2.00890651591	1.30710211951	1.71880150596
2107	1.08591586524	1.50417402114	2.00883076855	1.30620563673	1.71810378409
2108	1.08538852081	1.50328239606	2.00878122234	1.30533095455	1.71743226194
2109	1.08487639603	1.5024146835	2.00875712152	1.30447734777	1.71678615836
2110	1.08437888833	1.50157013707	2.00875772171	1.30364411111	1.71616470748
2111	1.0838954141	1.5007480234	2.00878228373	1.30283055528	1.71556715343
2112	1.08342541352	1.49994763145	2.00883008699	1.30203601429	1.71499276153
2113	1.08296835054	1.49916827336	2.0089004311	1.30125984599	1.71444081946
2114	1.08252370699	1.49840927502	2.00899262302	1.30050142415	1.71391062629
2115	1.08209098324	1.49766997814	2.00910598038	1.29976013997	1.71340149511
2116	1.08166969332	1.49694973243	2.0092398209	1.29903539551	1.71291274392
2117	1.08125936744	1.49624790093	2.00939347023	1.29832660785	1.71244370217
2118	1.0808595593	1.49556387349	2.00956628119	1.29763321983	1.71199372681
2119	1.08046984382	1.49489706363	2.00975762972	1.29695469734	1.71156219874
2120	1.08008981498	1.49424690544	2.00996691097	1.2962905266	1.71114851936
2121	1.07971908409	1.4936128513	2.01019353644	1.29564021212	1.71075210798
2122	1.07935727625	1.49299436627	2.01043692656	1.29500327203	1.71037239539
2123	1.07900403486	1.49239093671	2.01069652305	1.29437924487	1.71000883417
2124	1.07865902138	1.49180207048	2.01097178949	1.29376768962	1.70966089905
2125	1.07832190929	1.49122728687	2.01126219775	1.29316817738	1.70932807526
2126	1.07799238467	1.49066611833	2.01156723053	1.29258029258	1.70900986055
2127	1.07767014123	1.49011810217	2.01188637022	1.29200362617	1.70870575565
2128	1.07735488287	1.48958278562	2.01221910622	1.29143777956	1.70841527032
2129	1.07704633095	1.48905973907	2.01256495373	1.29088237524	1.70813793912
2130	1.0767442221	1.4885485527	2.01292344931	1.29033705395	1.70787331755
2131	1.07644830613	1.48804883324	2.01329414668	1.28980147186	1.70762097833
2132	1.07615834438	1.48756020153	2.0136766136	1.28927529859	1.70738050867
2133	1.0758741063	1.48708228691	2.01407042419	1.28875821243	1.7071515037
2134	1.07559537404	1.48661473571	2.01447517114	1.28824990721	1.70693357662
2135	1.07532194239	1.48615721141	2.01489046617	1.2877500923	1.706726359
2136	1.07505361286	1.48570938467	2.01531592627	1.28725848443	1.70652948908
2137	1.07479019439	1.48527093493	2.0157511762	1.2867748089	1.70634261375
2138	1.07453149856	1.48484154226	2.01619583731	1.28629879285	1.70616537901
2139	1.07427734226	1.48442089238	2.01664953474	1.28583016931	1.705997436
2140	1.07402755514	1.48400868998	2.01711191626	1.2853686879	1.70583845677
2141	1.0737819776	1.48360465542	2.01758264777	1.28491411209	1.70568813051
2142	1.07354045879	1.48320852155	2.01806140913	1.28446621652	1.70554615983
2143	1.07330285519	1.48282003134	2.018547891	1.28402478508	1.70541225808
2144	1.07306902725	1.48243893237	2.01904178729	1.28358960627	1.70528614283
2145	1.07283884425	1.48206498538	2.01954280728	1.28316048019	1.70516754611
